trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-92.772415492,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-142.837057562,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-131.530483223,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,14,-14.2253593357,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-153.277218876,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,19,-106.574588705,"{0: 8, 1: 1, 2: 5, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-168.134272913,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-200.828638288,"{0: 8, 1: 4, 2: 3, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-62.3155726094,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-47.8190319548,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-152.807903217,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-33.1190020536,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-20.4117483225,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-54.2798547561,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,12,-72.6078230711,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,3,-88.371708833,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,1,-120.72141115,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-27.5677614827,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-99.3654917435,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,6,13.0679412496,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",20,8,18.9249200354,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",30,0,-83.1445430138,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",20,3,25.7503785677,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",20,6,-11.2657523945,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",30,15,-110.804546647,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 3}",1
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",25,0,-9.23725236922,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,14,11.1970209098,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",30,0,-22.5422854512,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",20,0,-39.1635730201,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",20,2,4.74656365102,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
