trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9900498337491681}",20,0,-249.040647371,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 5}",0
2,False,"{'a': 0.7, 'e': 0.9801986733067553}",20,0,-65.4130681755,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.7, 'e': 0.9704455335485082}",20,0,-71.0996741468,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.7, 'e': 0.9607894391523232}",25,0,-117.431855418,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.951229424500714}",25,0,-115.003280291,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.9417645335842487}",25,7,-54.6101350561,"{0: 13, 1: 3, 2: 0, 3: 1, 4: 1}",1
7,False,"{'a': 0.7, 'e': 0.9323938199059483}",20,0,-79.0307949873,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.9231163463866358}",20,0,-29.1965385556,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.9139311852712282}",20,0,-96.7038085449,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.9048374180359595}",25,0,-117.287729294,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.8958341352965282}",30,2,-217.454197715,"{0: 10, 1: 6, 2: 8, 3: 2, 4: 2}",1
12,False,"{'a': 0.7, 'e': 0.8869204367171575}",20,0,-31.4849843185,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.8780954309205613}",25,11,-4.32457501662,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.7, 'e': 0.8693582353988059}",35,0,-258.320041995,"{0: 17, 1: 5, 2: 8, 3: 1, 4: 4}",0
15,False,"{'a': 0.7, 'e': 0.8607079764250578}",20,12,-18.1820353382,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.8521437889662113}",30,0,-178.228340667,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.7, 'e': 0.8436648165963837}",20,0,-185.081394326,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
18,False,"{'a': 0.7, 'e': 0.835270211411272}",20,0,-62.8703463248,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.7, 'e': 0.8269591339433623}",20,0,-2.68319490958,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.8187307530779818}",20,4,-58.536954378,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.8105842459701871}",25,0,-77.0660913187,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
22,False,"{'a': 0.7, 'e': 0.8025187979624785}",35,0,-102.168109084,"{0: 28, 1: 0, 2: 5, 3: 0, 4: 2}",0
23,False,"{'a': 0.7, 'e': 0.794533602503334}",20,13,-83.469032486,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 2}",1
24,False,"{'a': 0.7, 'e': 0.7866278610665535}",20,0,-59.1976235931,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
25,False,"{'a': 0.7, 'e': 0.7788007830714049}",20,4,-88.8738782914,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
26,False,"{'a': 0.7, 'e': 0.7710515858035663}",30,0,-137.690130952,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 3}",0
27,False,"{'a': 0.7, 'e': 0.7633794943368531}",30,0,-121.590054661,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
28,False,"{'a': 0.7, 'e': 0.7557837414557255}",20,0,-39.8138938676,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
29,False,"{'a': 0.7, 'e': 0.7482635675785653}",30,9,-43.9471961941,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 1}",1
30,False,"{'a': 0.7, 'e': 0.7408182206817179}",25,0,-76.5448241302,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
31,False,"{'a': 0.7, 'e': 0.7334469562242892}",30,7,-80.5982414171,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 1}",1
32,False,"{'a': 0.7, 'e': 0.7261490370736909}",25,0,-153.494682499,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
33,False,"{'a': 0.7, 'e': 0.7189237334319262}",20,9,-3.17838649684,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.7117703227626097}",20,0,-77.096470128,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
35,False,"{'a': 0.7, 'e': 0.7046880897187134}",20,0,-63.5164809057,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.7, 'e': 0.697676326071031}",20,2,-56.1532821801,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 1}",1
37,False,"{'a': 0.7, 'e': 0.6907343306373547}",20,0,-88.9409381687,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
38,False,"{'a': 0.7, 'e': 0.6838614092123558}",20,16,6.03413931662,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.7, 'e': 0.6770568744981647}",20,0,-74.9759301513,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
40,False,"{'a': 0.7, 'e': 0.6703200460356393}",20,0,-78.9236018136,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
41,False,"{'a': 0.7, 'e': 0.6636502501363194}",20,0,-26.8868618912,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
42,False,"{'a': 0.7, 'e': 0.6570468198150567}",20,13,1.15686642111,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.6505090947233165}",20,0,-128.242902777,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.7, 'e': 0.6440364210831414}",20,1,-138.913191729,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 3}",1
45,False,"{'a': 0.7, 'e': 0.6376281516217733}",30,0,-194.27810656,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 4}",0
46,False,"{'a': 0.7, 'e': 0.631283645506926}",30,0,-119.424539182,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
47,False,"{'a': 0.7, 'e': 0.6250022682827008}",20,11,-62.628100845,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 1}",1
48,False,"{'a': 0.7, 'e': 0.6187833918061408}",35,0,-114.669690359,"{0: 24, 1: 5, 2: 4, 3: 0, 4: 2}",0
49,False,"{'a': 0.7, 'e': 0.6126263941844161}",20,0,-17.78603528,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
50,False,"{'a': 0.7, 'e': 0.6065306597126334}",25,2,-99.8959667629,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 0}",1
51,False,"{'a': 0.7, 'e': 0.6004955788122659}",25,2,-12.8308196949,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.5945205479701944}",25,0,-91.6302533018,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
53,False,"{'a': 0.7, 'e': 0.5886049696783552}",25,8,-19.5300693069,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.7, 'e': 0.5827482523739896}",30,8,-16.4573304695,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.5769498103804866}",20,0,-35.52239832,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
56,False,"{'a': 0.7, 'e': 0.5712090638488149}",20,5,-90.7188646581,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
57,False,"{'a': 0.7, 'e': 0.5655254386995371}",20,9,-13.1847193196,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.7, 'e': 0.559898366565402}",20,0,-60.9239253743,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
59,False,"{'a': 0.7, 'e': 0.5543272847345071}",20,2,-35.8906195786,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.5488116360940265}",30,0,-152.867076515,"{0: 20, 1: 3, 2: 2, 3: 3, 4: 2}",0
61,False,"{'a': 0.7, 'e': 0.5433508690744998}",30,18,0.4690323594,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.7, 'e': 0.5379444375946745}",30,0,-117.310317914,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
63,False,"{'a': 0.7, 'e': 0.5325918010068972}",25,8,10.391407181,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.5272924240430485}",20,10,-6.84495872302,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.7, 'e': 0.522045776761016}",20,0,-16.8789518927,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
66,False,"{'a': 0.7, 'e': 0.5168513344916992}",20,0,-45.4497929192,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
67,False,"{'a': 0.7, 'e': 0.5117085777865424}",20,6,-69.3964865571,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
68,False,"{'a': 0.7, 'e': 0.5066169923655895}",25,0,-9.60942215525,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
69,False,"{'a': 0.7, 'e': 0.5015760690660555}",30,1,-117.531107849,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 3}",1
70,False,"{'a': 0.7, 'e': 0.49658530379140947}",25,5,26.4492157017,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.7, 'e': 0.4916441974609651}",25,6,-7.44653037638,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.4867522559599717}",20,9,-42.9903697889,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.7, 'e': 0.48190899009020244}",20,13,12.4571724177,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.7, 'e': 0.4771139155210344}",30,8,1.47983700182,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
