trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.02255861543125,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.63208582946962,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.88000192017014,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-161.74448146129617,"{0: 14, 1: 9, 2: 3, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.57759727149656,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-122.02072984368377,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.17553671962733,"{0: 12, 1: 6, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-66.55825550888864,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.39295560818672,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.01120591715986,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.38760178302965,"{0: 8, 1: 5, 2: 3, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,3,-30.875743161508556,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-24.632047560546397,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.00363331165732,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-203.41882229015673,"{0: 20, 1: 2, 2: 2, 3: 2, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.01283828059006,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.7983487626622,"{0: 13, 1: 6, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.99029787868653,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.69716923997572,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.74857212045563,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.7636897904816,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.32079315559677,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-47.54832897050093,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-115.76647645480614,"{0: 17, 1: 7, 2: 3, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-140.40188620499657,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-65.53693220851395,"{0: 16, 1: 7, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-116.20760095589499,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-247.30182561762211,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-71.09322309251954,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-193.74534845551875,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
