trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.48447693048135,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.61639243362073,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-289.6883192711519,"{0: 12, 1: 3, 2: 9, 3: 2, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.45947303649587,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.568214339093,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.17742907595138,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.55576372143014,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.1791197823537,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-195.30198303167688,"{0: 9, 1: 7, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.98315501527412,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.89495586654976,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-264.41524751362164,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 5}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.90695324411786,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-211.8728872815152,"{0: 14, 1: 3, 2: 9, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.63906857287,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,14,8.619420214847674,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-227.64739764028698,"{0: 18, 1: 3, 2: 3, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-185.41588669282996,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.24418518859254,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-104.0301851742215,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,12,-33.207696410026344,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-124.45011828019348,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-140.0732247821268,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-134.6947633084018,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.62132182311508,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.13982985722254,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-167.084438061762,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,14,-4.70157058290029,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-176.09422140481922,"{0: 17, 1: 9, 2: 7, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.6773634801303,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
